full_name,country,api-football_name,worldfootballR_name
1. FC Heidenheim,GER,1. FC Heidenheim,Heidenheim
1. FC Köln,GER,1.FC Köln,
1899 Hoffenheim,GER,1899 Hoffenheim,Hoffenheim
Ajaccio,FRA,Ajaccio,
Alavés,ESP,Alaves,Alavés
Almería,ESP,Almeria,
Angers,FRA,Angers,Angers
Arminia Bielefeld,GER,,
Arsenal,ENG,Arsenal,Arsenal
Aston Villa,ENG,Aston Villa,Aston Villa
Atalanta,ITA,Atalanta,Atalanta
Athletic Bilbao,ESP,Athletic Club,Athletic Club
Atlético Madrid,ESP,Atletico Madrid,Atlético Madrid
Auxerre,FRA,Auxerre,Auxerre
Barcelona,ESP,Barcelona,Barcelona
Bayer Leverkusen,GER,Bayer Leverkusen,Leverkusen
Bayern Munich,GER,Bayern Munich,Bayern Munich
Benevento,ITA,,
Bologna,ITA,Bologna,Bologna
Bordeaux,FRA,,
Borussia Dortmund,GER,Borussia Dortmund,Dortmund
Borussia Mönchengladbach,GER,Borussia Monchengladbach,Gladbach
Bournemouth,ENG,Bournemouth,Bournemouth
Brentford,ENG,Brentford,Brentford
Brest,FRA,Stade Brestois 29,Brest
Brighton & Hove Albion,ENG,Brighton,Brighton
Burnley,ENG,Burnley,
Cádiz,ESP,Cadiz,
Cagliari,ITA,Cagliari,Cagliari
Celta Vigo,ESP,Celta Vigo,Celta Vigo
Chelsea,ENG,Chelsea,Chelsea
Clermont,FRA,Clermont Foot,
Como,ITA,Como,Como
Cremonese,ITA,Cremonese,
Crotone,ITA,,
Crystal Palace,ENG,Crystal Palace,Crystal Palace
Darmstadt 98,GER,SV Darmstadt 98,
Dijon,FRA,,
Eibar,ESP,,
Eintracht Frankfurt,GER,Eintracht Frankfurt,Eint Frankfurt
Elche,ESP,Elche,
Empoli,ITA,Empoli,Empoli
Espanyol,ESP,Espanyol,Espanyol
Everton,ENG,Everton,Everton
FC Augsburg,GER,FC Augsburg,Augsburg
FC St. Pauli,GER,FC St. Pauli,St. Pauli
Fiorentina,ITA,Fiorentina,Fiorentina
Frosinone,ITA,Frosinone,
Fulham,ENG,Fulham,Fulham
Genoa,ITA,Genoa,Genoa
Getafe,ESP,Getafe,Getafe
Girona,ESP,Girona,Girona
Granada,ESP,Granada CF,
Greuther Fürth,GER,,
Hellas Verona,ITA,Verona,Hellas Verona
Hertha BSC,GER,Hertha Berlin,
Holstein Kiel,GER,Holstein Kiel,Holstein Kiel
Huesca,ESP,,
Inter Milan,ITA,Inter,Inter
Ipswich Town,ENG,Ipswich,Ipswich Town
Juventus,ITA,Juventus,Juventus
Las Palmas,ESP,Las Palmas,Las Palmas
Lazio,ITA,Lazio,Lazio
Le Havre,FRA,LE Havre,Le Havre
Lecce,ITA,Lecce,Lecce
Leeds United,ENG,Leeds,
Leganés,ESP,Leganes,Leganés
Leicester City,ENG,Leicester,Leicester City
Lens,FRA,Lens,Lens
Levante,ESP,,
Lille,FRA,Lille,Lille
Liverpool,ENG,Liverpool,Liverpool
Lorient,FRA,Lorient,
Luton Town,ENG,Luton,
Lyon,FRA,Lyon,Lyon
Mainz 05,GER,FSV Mainz 05,Mainz 05
Mallorca,ESP,Mallorca,Mallorca
Manchester City,ENG,Manchester City,Manchester City
Manchester United,ENG,Manchester United,Manchester Utd
Marseille,FRA,Marseille,Marseille
Metz,FRA,Metz,Metz
Milan,ITA,AC Milan,Milan
