full_name,country,api-football_name,worldfootballR_name
FC Heidenheim,GER,1. FC Heidenheim,Heidenheim
FC Köln,GER,1.FC Köln,
1899 Hoffenheim,GER,1899 Hoffenheim,Hoffenheim
Bayer Leverkusen,GER,Bayer Leverkusen,Leverkusen
Bayern München,GER,Bayern München,Bayern Munich
Bayern Munich,GER,Bayern Munich,Bayern Munich
Borussia Dortmund,GER,Borussia Dortmund,Dortmund
Borussia Mönchengladbach,GER,Borussia Monchengladbach,Gladbach
Borussia Mönchengladbach,GER,Borussia Mönchengladbach,Gladbach
Eintracht Frankfurt,GER,Eintracht Frankfurt,Eint Frankfurt
FC Augsburg,GER,FC Augsburg,Augsburg
FC Heidenheim,GER,FC Heidenheim,Heidenheim
FC Koln,GER,FC Koln,
FC Schalke 04,GER,FC Schalke 04,
FC St. Pauli,GER,FC St. Pauli,St. Pauli
FSV Mainz 05,GER,FSV Mainz 05,Mainz 05
Hertha Berlin,GER,Hertha Berlin,
Holstein Kiel,GER,Holstein Kiel,Holstein Kiel
RB Leipzig,GER,RB Leipzig,RB Leipzig
SC Freiburg,GER,SC Freiburg,Freiburg
SV Darmstadt 98,GER,SV Darmstadt 98,
Union Berlin,GER,Union Berlin,Union Berlin
VfB Stuttgart,GER,VfB Stuttgart,Stuttgart
VfL Bochum,GER,VfL BOCHUM,Bochum
VfL Bochum,GER,VfL Bochum,Bochum
Vfl Bochum,GER,Vfl Bochum,Bochum
VfL Wolfsburg,GER,VfL Wolfsburg,Wolfsburg
Werder Bremen,GER,Werder Bremen,Werder Bremen
Alaves,ESP,Alaves,Alavés
Almeria,ESP,Almeria,
Athletic Club,ESP,Athletic Club,Athletic Club
Atletico Madrid,ESP,Atletico Madrid,Atlético Madrid
Barcelona,ESP,Barcelona,Barcelona
Cadiz,ESP,Cadiz,
Celta Vigo,ESP,Celta Vigo,Celta Vigo
Elche,ESP,Elche,
Espanyol,ESP,Espanyol,Espanyol
Getafe,ESP,Getafe,Getafe
Girona,ESP,Girona,Girona
Granada CF,ESP,Granada CF,
Las Palmas,ESP,Las Palmas,Las Palmas
Leganes,ESP,Leganes,Leganés
Mallorca,ESP,Mallorca,Mallorca
Osasuna,ESP,Osasuna,Osasuna
Rayo Vallecano,ESP,Rayo Vallecano,Rayo Vallecano
Real Betis,ESP,Real Betis,Betis
Real Madrid,ESP,Real Madrid,Real Madrid
Real Sociedad,ESP,Real Sociedad,Real Sociedad
Sevilla,ESP,Sevilla,Sevilla
Valencia,ESP,Valencia,Valencia
Valladolid,ESP,Valladolid,Valladolid
Villarreal,ESP,Villarreal,Villarreal
Ajaccio,FRA,Ajaccio,
Angers,FRA,Angers,Angers
Auxerre,FRA,Auxerre,Auxerre
Clermont Foot,FRA,Clermont Foot,
Estac Troyes,FRA,Estac Troyes,
Le Havre,FRA,LE Havre,Le Havre
Le Havre,FRA,Le Havre,Le Havre
Lens,FRA,Lens,Lens
Lille,FRA,Lille,Lille
Lorient,FRA,Lorient,
Lyon,FRA,Lyon,Lyon
Marseille,FRA,Marseille,Marseille
Metz,FRA,Metz,Metz
Monaco,FRA,Monaco,Monaco
Montpellier,FRA,Montpellier,Montpellier
Nantes,FRA,Nantes,Nantes
Nice,FRA,Nice,Nice
Paris Saint Germain,FRA,Paris Saint Germain,Paris S-G
Reims,FRA,Reims,Reims
Rennes,FRA,Rennes,Rennes
Saint Etienne,FRA,Saint Etienne,Saint-Étienne
Stade Brestois 29,FRA,Stade Brestois 29,Brest
Strasbourg,FRA,Strasbourg,Strasbourg
Toulouse,FRA,Toulouse,Toulouse
Arsenal,ENG,Arsenal,Arsenal
Aston Villa,ENG,Aston Villa,Aston Villa
Bournemouth,ENG,Bournemouth,Bournemouth
Brentford,ENG,Brentford,Brentford
Brighton,ENG,Brighton,Brighton
Burnley,ENG,Burnley,
